Episode,TotalReward,Epsilon
81,-1,0.9847999999999981
82,-1,0.9846099999999981
83,-1,0.9844199999999981
84,-1,0.984229999999998
85,-1,0.984039999999998
86,-1,0.983849999999998
87,-1,0.983659999999998
88,-1,0.983469999999998
89,-1,0.9832799999999979
90,0,0.9830899999999979
91,0,0.9828999999999979
92,-1,0.9827099999999979
93,-1,0.9825199999999978
94,-1,0.9823299999999978
95,-1,0.9821399999999978
96,-1,0.9819499999999978
97,-1,0.9817599999999977
98,-1,0.9815699999999977
99,-1,0.9813799999999977
100,-1,0.9811899999999977
101,-1,0.9809999999999977
102,-1,0.9808099999999976
103,-1,0.9806199999999976
104,-1,0.9804299999999976
105,-1,0.9802399999999976
106,-1,0.9800499999999975
107,0,0.9798599999999975
108,-1,0.9796699999999975
109,0,0.9794799999999975
110,-1,0.9792899999999974
111,-1,0.9790999999999974
112,-1,0.9789099999999974
113,-1,0.9787199999999974
114,-1,0.9785299999999973
115,-1,0.9783399999999973
116,-1,0.9781499999999973
117,-1,0.9779599999999973
118,-1,0.9777699999999973
119,-1,0.9775799999999972
120,-1,0.9773899999999972
121,-1,0.9771999999999972
122,-1,0.9770099999999972
123,-1,0.9768199999999971
124,-1,0.9766299999999971
125,-1,0.9764399999999971
126,-1,0.9762499999999971
127,-1,0.976059999999997
128,-1,0.975869999999997
129,-1,0.975679999999997
130,-1,0.975489999999997
131,-1,0.975299999999997
132,-1,0.9751099999999969
133,0,0.9749199999999969
134,-1,0.9747299999999969
135,-1,0.9745399999999969
136,-1,0.9743499999999968
137,-1,0.9741599999999968
138,-1,0.9739699999999968
139,-1,0.9737799999999968
140,-1,0.9735899999999967
141,-1,0.9733999999999967
142,0,0.9732099999999967
143,-1,0.9730199999999967
144,-1,0.9728299999999966
145,-1,0.9726399999999966
146,-1,0.9724499999999966
147,-1,0.9722599999999966
148,-1,0.9720699999999965
149,-1,0.9718799999999965
150,-1,0.9716899999999965
151,-1,0.9714999999999965
152,0,0.9713099999999965
153,-1,0.9711199999999964
154,-1,0.9709299999999964
155,0,0.9707399999999964
156,-1,0.9705499999999964
157,-1,0.9703599999999963
158,-1,0.9701699999999963
159,-1,0.9699799999999963
160,-1,0.9697899999999963
161,-1,0.9695999999999962
162,-1,0.9694099999999962
163,-1,0.9692199999999962
164,-1,0.9690299999999962
165,-1,0.9688399999999961
166,-1,0.9686499999999961
167,-1,0.9684599999999961
168,-1,0.9682699999999961
169,-1,0.968079999999996
170,0,0.967889999999996
171,-1,0.967699999999996
172,-1,0.967509999999996
173,-1,0.967319999999996
174,-1,0.9671299999999959
175,-1,0.9669399999999959
176,-1,0.9667499999999959
177,-1,0.9665599999999959
178,-1,0.9663699999999958
179,-1,0.9661799999999958
180,-1,0.9659899999999958
181,-1,0.9657999999999958
182,-1,0.9656099999999957
183,-1,0.9654199999999957
184,-1,0.9652299999999957
185,-1,0.9650399999999957
186,-1,0.9648499999999957
187,-1,0.9646599999999956
188,-1,0.9644699999999956
189,-1,0.9642799999999956
190,-1,0.9640899999999956
191,-1,0.9638999999999955
192,-1,0.9637099999999955
193,0,0.9635199999999955
194,-1,0.9633299999999955
195,-1,0.9631399999999954
196,-1,0.9629499999999954
197,-1,0.9627599999999954
198,0,0.9625699999999954
199,-1,0.9623799999999954
200,-1,0.9621899999999953
201,-1,0.9619999999999953
202,-1,0.9618099999999953
203,-1,0.9616199999999953
204,-1,0.9614299999999952
205,-1,0.9612399999999952
206,-1,0.9610499999999952
207,-1,0.9608599999999952
208,0,0.9606699999999951
209,-1,0.9604799999999951
210,-1,0.9602899999999951
211,-1,0.9600999999999951
212,-1,0.959909999999995
213,-1,0.959719999999995
214,-1,0.959529999999995
215,1,0.959339999999995
216,0,0.959149999999995
217,-1,0.9589599999999949
218,-1,0.9587699999999949
219,-1,0.9585799999999949
220,-1,0.9583899999999949
221,-1,0.9581999999999948
222,0,0.9580099999999948
223,-1,0.9578199999999948
224,-1,0.9576299999999948
225,-1,0.9574399999999947
226,-1,0.9572499999999947
227,-1,0.9570599999999947
228,-1,0.9568699999999947
229,-1,0.9566799999999946
230,-1,0.9564899999999946
231,-1,0.9562999999999946
232,-1,0.9561099999999946
233,-1,0.9559199999999946
234,-1,0.9557299999999945
235,-1,0.9555399999999945
236,0,0.9553499999999945
237,-1,0.9551599999999945
238,-1,0.9549699999999944
239,-1,0.9547799999999944
240,-1,0.9545899999999944
241,-1,0.9543999999999944
242,-1,0.9542099999999943
243,-1,0.9540199999999943
244,-1,0.9538299999999943
245,-1,0.9536399999999943
246,-1,0.9534499999999942
247,-1,0.9532599999999942
248,0,0.9530699999999942
249,-1,0.9528799999999942
250,-1,0.9526899999999942
251,-1,0.9524999999999941
252,-1,0.9523099999999941
253,-1,0.9521199999999941
254,-1,0.9519299999999941
255,-1,0.951739999999994
256,-1,0.951549999999994
257,-1,0.951359999999994
258,-1,0.951169999999994
259,-1,0.9509799999999939
260,-1,0.9507899999999939
261,-1,0.9505999999999939
262,-1,0.9504099999999939
263,-1,0.9502199999999938
264,-1,0.9500299999999938
265,-1,0.9498399999999938
266,-1,0.9496499999999938
267,-1,0.9494599999999938
268,-1,0.9492699999999937
269,-1,0.9490799999999937
270,-1,0.9488899999999937
271,-1,0.9486999999999937
272,-1,0.9485099999999936
273,-1,0.9483199999999936
274,-1,0.9481299999999936
275,-1,0.9479399999999936
276,-1,0.9477499999999935
277,-1,0.9475599999999935
278,-1,0.9473699999999935
279,-1,0.9471799999999935
280,0,0.9469899999999934
281,-1,0.9467999999999934
282,-1,0.9466099999999934
283,-1,0.9464199999999934
284,-1,0.9462299999999934
285,-1,0.9460399999999933
286,-1,0.9458499999999933
287,-1,0.9456599999999933
288,-1,0.9454699999999933
289,-1,0.9452799999999932
290,-1,0.9450899999999932
291,-1,0.9448999999999932
292,-1,0.9447099999999932
293,-1,0.9445199999999931
294,-1,0.9443299999999931
295,-1,0.9441399999999931
296,-1,0.9439499999999931
297,0,0.943759999999993
298,-1,0.943569999999993
299,0,0.943379999999993
300,-1,0.943189999999993
301,0,0.942999999999993
302,-1,0.9428099999999929
303,-1,0.9426199999999929
304,0,0.9424299999999929
305,-1,0.9422399999999929
306,-1,0.9420499999999928
307,-1,0.9418599999999928
308,-1,0.9416699999999928
309,-1,0.9414799999999928
310,-1,0.9412899999999927
311,-1,0.9410999999999927
312,-1,0.9409099999999927
313,0,0.9407199999999927
314,-1,0.9405299999999926
315,-1,0.9403399999999926
316,-1,0.9401499999999926
317,-1,0.9399599999999926
318,-1,0.9397699999999926
319,-1,0.9395799999999925
320,-1,0.9393899999999925
321,-1,0.9391999999999925
322,-1,0.9390099999999925
323,-1,0.9388199999999924
324,-1,0.9386299999999924
325,-1,0.9384399999999924
326,-1,0.9382499999999924
327,0,0.9380599999999923
328,-1,0.9378699999999923
329,-1,0.9376799999999923
330,-1,0.9374899999999923
331,0,0.9372999999999923
332,-1,0.9371099999999922
333,-1,0.9369199999999922
334,-1,0.9367299999999922
335,0,0.9365399999999922
336,-1,0.9363499999999921
337,-1,0.9361599999999921
338,-1,0.9359699999999921
339,-1,0.9357799999999921
340,-1,0.935589999999992
341,-1,0.935399999999992
342,-1,0.935209999999992
343,-1,0.935019999999992
344,-1,0.934829999999992
345,-1,0.9346399999999919
346,-1,0.9344499999999919
347,-1,0.9342599999999919
348,-1,0.9340699999999919
349,-1,0.9338799999999918
350,-1,0.9336899999999918
351,-1,0.9334999999999918
352,0,0.9333099999999918
353,-1,0.9331199999999917
354,-1,0.9329299999999917
355,-1,0.9327399999999917
356,-1,0.9325499999999917
357,-1,0.9323599999999916
358,-1,0.9321699999999916
359,-1,0.9319799999999916
360,-1,0.93178999999999163
363,-1,0.9314099999999915
364,-1,0.9312199999999915
365,-1,0.9310299999999915
366,-1,0.9308399999999915
367,-1,0.9306499999999914
368,-1,0.9304599999999914
369,-1,0.9302699999999914
370,-1,0.9300799999999914
371,-1,0.9298899999999913
372,-1,0.9296999999999913
373,0,0.9295099999999913
374,-1,0.9293199999999913
375,-1,0.9291299999999912
376,-1,0.9289399999999912
377,0,0.9287499999999912
378,-1,0.9285599999999912
379,-1,0.9283699999999911
380,0,0.9281799999999911
381,-1,0.9279899999999911
382,-1,0.9277999999999911
383,-1,0.927609999999991
384,-1,0.927419999999991
385,-1,0.927229999999991
386,-1,0.927039999999991
387,-1,0.926849999999991
388,-1,0.9266599999999909
389,-1,0.9264699999999909
390,-1,0.9262799999999909
391,-1,0.9260899999999909
392,1,0.9258999999999908
393,-1,0.9257099999999908
394,0,0.9255199999999908
395,0,0.9253299999999908
396,-1,0.9251399999999907
397,-1,0.9249499999999907
398,-1,0.9247599999999907
399,-1,0.9245699999999907
400,-1,0.9243799999999907
401,-1,0.9241899999999906
402,-1,0.9239999999999906
403,0,0.9238099999999906
404,0,0.9236199999999906
405,-1,0.9234299999999905
406,-1,0.9232399999999905
407,-1,0.9230499999999905
408,-1,0.9228599999999905
409,-1,0.9226699999999904
